id_procedimento,id_animal,carimbo_ts,data_do_procedimento,nome_do_profissional,tipo_de_evento,categoria_medicamento,nome_medicamento,categoria_vacina,nome_vacina,nome_cirurgia_realizada
ef4cd54e,cea5bb3a,27/01/2026 12:39:07,27/01/2026,Aelton,Castração,,,,,Castração Eletiva
85ad09cd,cea5bb3a,18/01/2026 13:06:38,18/01/2026,Aelton,Medicamento,Suplementos / Vitaminas,Vitamina B12,,,
24196fb1,cea5bb3a,04/01/2026 15:10:50,04/01/2026,Aelton,Cirurgia,,,,,Remoção de Nódulo
3267e02e,cea5bb3a,10/12/2025 12:19:40,10/12/2025,Aelton,Cirurgia,,,,,Amputação
c1232f36,e7d3bf5b,06/03/2026 09:49:14,06/03/2026,Aelton,Consulta Veterinária,,,,,
3ce126ad,e7d3bf5b,16/09/2025 17:45:33,16/09/2025,Aelton,Medicamento,Antibiótico,Doxiciclina,,,
ff83d9fc,e7d3bf5b,05/01/2026 17:57:40,05/01/2026,Aelton,Consulta Veterinária,,,,,
0533dfc4,e7d3bf5b,22/03/2026 14:14:25,22/03/2026,Aelton,Cirurgia,,,,,Amputação
937fa2fb,11f526f3,20/02/2026 16:52:34,20/02/2026,Bruno,Consulta Veterinária,,,,,
e16cf17c,3cabba83,06/05/2026 12:50:36,06/05/2026,Aelton,Castração,,,,,Castração Eletiva
c104237d,3cabba83,04/05/2026 09:00:02,04/05/2026,Aelton,Vacina,,,Panleucopenia,Vacina Panleucopenia,
c760287b,7d60527d,26/07/2025 14:12:39,26/07/2025,Victor,Vacina,,,Antirrábica,Vacina Antirrábica Padrão,
e444fc8b,7d60527d,20/10/2025 16:37:32,20/10/2025,Victor,Vacina,,,Brucelose,Vacina Brucelose,
1c884a89,7d60527d,28/09/2025 18:14:33,28/09/2025,Victor,Medicamento,Ontológico,Gota Otológica,,,
6d87c828,dbb03135,10/08/2025 16:54:29,10/08/2025,Aelton,Medicamento,Anti-inflamatórios / Analgésico,Prednisolona,,,
1f07e572,dbb03135,02/11/2025 10:26:25,02/11/2025,Aelton,Castração,,,,,Castração Eletiva
42832c3a,cd483302,24/04/2026 18:26:20,24/04/2026,Victor,Cirurgia,,,,,Castração Emergencial
b780a472,cd483302,25/05/2026 09:46:47,25/05/2026,Victor,Consulta Veterinária,,,,,
521fdd3a,cd483302,30/03/2026 08:48:31,30/03/2026,Victor,Vacina,,,Clostridial,Polivalente Clostridial,
2ddb1ae5,e24ac219,13/06/2026 12:51:45,13/06/2026,Aelton,Medicamento,Antiparasitario externo,Bravecto Top,,,
ff27b801,e24ac219,12/06/2026 17:21:47,12/06/2026,Aelton,Cirurgia,,,,,Castração Emergencial
5ba3846a,9f1c0e6f,03/05/2026 14:05:28,03/05/2026,Bruno,Cirurgia,,,,,Amputação
240f6d43,9f1c0e6f,14/05/2026 14:32:35,14/05/2026,Bruno,Medicamento,Cardiológico,Enalapril,,,
44537782,9f1c0e6f,07/05/2026 14:36:37,07/05/2026,Bruno,Vacina,,,Respiratória,Vacina Gripe Canina (Bordetella),
324e8c63,e3ed5f8d,22/04/2026 16:30:12,22/04/2026,Victor,Consulta Veterinária,,,,,
35e7f50e,e3ed5f8d,16/05/2026 11:05:32,16/05/2026,Victor,Cirurgia,,,,,Castração Emergencial
6ec7deb6,e3ed5f8d,17/05/2026 09:21:07,17/05/2026,Victor,Vacina,,,Influenza,Vacina Influenza Equina/Aviária,
3fd255b4,4341c1f0,28/08/2025 16:51:47,28/08/2025,Victor,Cirurgia,,,,,Castração Emergencial
59e2fd8d,8547cad2,03/03/2026 12:21:37,03/03/2026,Michelly,Consulta Veterinária,,,,,
6437dc00,5b8b9ba3,10/05/2026 11:28:51,10/05/2026,Aelton,Consulta Veterinária,,,,,
4194b916,5b8b9ba3,18/04/2026 12:14:58,18/04/2026,Aelton,Cirurgia,,,,,Castração Emergencial
1bd73938,7c535851,30/01/2026 11:19:10,30/01/2026,Bruno,Consulta Veterinária,,,,,
dae10d2b,a0eb16ac,18/11/2025 08:24:34,18/11/2025,Michelly,Medicamento,Antiviral,Interferon,,,
1dc2b89e,a0eb16ac,14/02/2026 11:32:09,14/02/2026,Michelly,Cirurgia,,,,,Amputação
54fb0110,a0eb16ac,28/03/2026 08:33:33,28/03/2026,Michelly,Cirurgia,,,,,Castração Emergencial
cba81974,a0eb16ac,10/12/2025 09:19:38,10/12/2025,Michelly,Vacina,,,Reprodutiva,Vacina Específica,
7a696951,a5a71ccc,02/11/2025 09:06:55,02/11/2025,Michelly,Consulta Veterinária,,,,,
a80418db,e9954710,01/02/2026 18:35:09,01/02/2026,Aelton,Vacina,,,Polivalente,V4 Felina,
e8f70209,e9954710,02/02/2026 16:54:19,02/02/2026,Aelton,Medicamento,Anti-inflamatórios / Analgésico,Meloxicam,,,
9763b67f,e9954710,23/03/2026 09:01:29,23/03/2026,Aelton,Cirurgia,,,,,Ortopedia
3725b087,9a1697cc,16/05/2026 16:07:09,16/05/2026,Michelly,Medicamento,Gastrointestinal,Ondansetrona,,,
2ad341af,9a1697cc,26/03/2026 09:16:11,26/03/2026,Michelly,Medicamento,Respiratório,Aminofilina,,,
8139a42f,aee11ea8,24/02/2026 14:05:30,24/02/2026,Victor,Cirurgia,,,,,Castração Emergencial
835d6e84,aee11ea8,17/09/2025 08:40:26,17/09/2025,Victor,Cirurgia,,,,,Remoção de Nódulo
6c272174,9ae8d3d1,19/04/2026 17:25:29,19/04/2026,Victor,Castração,,,,,Castração Eletiva
fad54c77,9ae8d3d1,03/06/2026 15:28:17,03/06/2026,Victor,Castração,,,,,Castração Eletiva
359f5c14,9ae8d3d1,11/02/2026 16:28:26,11/02/2026,Victor,Cirurgia,,,,,Remoção de Nódulo
246a4219,9ae8d3d1,12/02/2026 12:33:25,12/02/2026,Victor,Castração,,,,,Castração Eletiva
3f76a7ea,0b147465,13/05/2026 17:20:23,13/05/2026,Michelly,Castração,,,,,Castração Eletiva
06a0eadd,0b147465,15/05/2026 16:06:38,15/05/2026,Michelly,Cirurgia,,,,,Ortopedia
a482a402,60bdc9fb,22/04/2026 09:23:18,22/04/2026,Aelton,Cirurgia,,,,,Remoção de Nódulo
41541b52,60bdc9fb,04/04/2026 15:31:50,04/04/2026,Aelton,Medicamento,Ontológico,Gota Otológica,,,
e81f4883,fc7729bb,19/03/2026 16:08:36,19/03/2026,Victor,Vacina,,,Clostridial,Polivalente Clostridial,
a978f46e,fc7729bb,08/01/2026 09:47:11,08/01/2026,Victor,Medicamento,Hormônio,Insulina,,,
ff87bb06,1c24ed2a,06/06/2026 09:47:11,06/06/2026,Michelly,Vacina,,,Respiratória,Vacina Gripe Canina (Bordetella),
d84cc3b9,1c24ed2a,21/02/2026 11:25:50,21/02/2026,Michelly,Consulta Veterinária,,,,,
286b97e4,894ad601,24/03/2026 09:16:41,24/03/2026,Michelly,Vacina,,,Reprodutiva,Vacina Específica,
364392f9,894ad601,19/09/2025 15:39:00,19/09/2025,Michelly,Castração,,,,,Castração Eletiva
48c72f71,894ad601,24/02/2026 11:30:16,24/02/2026,Michelly,Vacina,,,Cinomose,Vacina Cinomose (Isolada),
0b4d8d6d,894ad601,03/08/2025 13:28:34,03/08/2025,Michelly,Medicamento,Dermatológico,Shampoo Clorexidina,,,
2f0a14c0,4cba8730,01/04/2026 14:53:57,01/04/2026,Bruno,Castração,,,,,Castração Eletiva
d47665a2,5071bee8,26/02/2026 12:42:10,26/02/2026,Victor,Medicamento,Anestésico / Sedativo,Propofol,,,
ba1b88a4,e8041a88,15/12/2025 17:32:47,15/12/2025,Michelly,Medicamento,Cardiológico,Enalapril,,,
339a097a,e8041a88,08/05/2026 18:06:01,08/05/2026,Michelly,Medicamento,Anti-inflamatórios / Analgésico,Prednisolona,,,
42c285b5,e8041a88,15/01/2026 18:07:17,15/01/2026,Michelly,Vacina,,,Polivalente,V4 Felina,
aaee8ed3,e8041a88,20/02/2026 14:00:16,20/02/2026,Michelly,Consulta Veterinária,,,,,
de9394fb,0bd114a7,06/11/2025 13:55:20,06/11/2025,Bruno,Vacina,,,Respiratória,Vacina Gripe Canina (Bordetella),
f097f973,54e5fdd7,24/05/2026 18:28:21,24/05/2026,Victor,Vacina,,,Tétano,Soro Antitetânico,
57b7bbd4,497cd3bf,29/12/2025 14:02:54,29/12/2025,Michelly,Consulta Veterinária,,,,,
d087dfe7,497cd3bf,18/03/2026 17:09:05,18/03/2026,Michelly,Castração,,,,,Castração Eletiva
9ff43e2f,497cd3bf,02/05/2026 09:50:39,02/05/2026,Michelly,Medicamento,Oftálmico,Pomada Oftálmica,,,
c58ebdaa,f5347cec,12/06/2026 08:49:13,12/06/2026,Victor,Castração,,,,,Castração Eletiva
36718a3d,3053a93c,08/05/2026 18:51:28,08/05/2026,Michelly,Castração,,,,,Castração Eletiva
4dcfa928,c18ee043,24/12/2025 08:17:12,24/12/2025,Michelly,Cirurgia,,,,,Remoção de Nódulo
73a76aca,c18ee043,15/03/2026 11:01:47,15/03/2026,Michelly,Castração,,,,,Castração Eletiva
6c882af7,c18ee043,09/05/2026 09:00:23,09/05/2026,Michelly,Vacina,,,Polivalente,V8,
213295fb,6cb9bec9,20/02/2026 09:52:28,20/02/2026,Michelly,Castração,,,,,Castração Eletiva
a6e290e9,6cb9bec9,21/04/2026 12:27:32,21/04/2026,Michelly,Cirurgia,,,,,Remoção de Nódulo
03dbb080,6cb9bec9,13/05/2026 11:06:41,13/05/2026,Michelly,Cirurgia,,,,,Amputação
6b228fba,dd5dd34c,24/03/2026 13:52:53,24/03/2026,Victor,Consulta Veterinária,,,,,
2d21f738,dd5dd34c,10/04/2026 08:13:04,10/04/2026,Victor,Consulta Veterinária,,,,,
4e668d9f,dd5dd34c,01/06/2026 08:54:06,01/06/2026,Victor,Cirurgia,,,,,Ortopedia
2cb0e9d7,96a92541,01/02/2026 18:09:05,01/02/2026,Victor,Vacina,,,Rinotraqueíte,Vacina Rinotraqueíte,
d17258ab,96a92541,08/03/2026 12:37:30,08/03/2026,Victor,Cirurgia,,,,,Castração Emergencial
3b849a9f,96a92541,27/12/2025 08:24:26,27/12/2025,Victor,Cirurgia,,,,,Ortopedia
97e78cff,96a92541,25/01/2026 11:07:37,25/01/2026,Victor,Vacina,,,Brucelose,Vacina Brucelose,
c4ed24d2,f065996d,14/02/2026 18:35:49,14/02/2026,Victor,Medicamento,Dermatológico,Pomada Cicatrizante,,,
d602d0a1,f065996d,11/06/2026 14:58:15,11/06/2026,Victor,Consulta Veterinária,,,,,
50d7c802,f065996d,01/03/2026 15:09:20,01/03/2026,Victor,Castração,,,,,Castração Eletiva
1d84cfec,bf2c1143,05/02/2026 13:01:18,05/02/2026,Bruno,Vacina,,,Antirrábica,Vacina Antirrábica Padrão,
afcbb561,bf2c1143,05/04/2026 11:26:07,05/04/2026,Bruno,Medicamento,Anestésico / Sedativo,Acepromazina,,,
4161bfd3,bf2c1143,30/01/2026 09:26:25,30/01/2026,Bruno,Vacina,,,Marek,Vacina Doença de Marek,
eb8734b6,e5d4d8bb,06/11/2025 18:14:20,06/11/2025,Bruno,Medicamento,Dermatológico,Shampoo Clorexidina,,,
f8560343,e5d4d8bb,10/12/2025 12:29:04,10/12/2025,Bruno,Castração,,,,,Castração Eletiva
aec66740,e5d4d8bb,04/11/2025 10:32:49,04/11/2025,Bruno,Castração,,,,,Castração Eletiva
fc6d30d7,1d839d19,21/04/2026 13:15:35,21/04/2026,Aelton,Consulta Veterinária,,,,,
5fb0e0b0,1d839d19,21/05/2026 17:40:47,21/05/2026,Aelton,Medicamento,Ontológico,Gota Otológica,,,
0977efdd,1d839d19,30/05/2026 17:46:12,30/05/2026,Aelton,Castração,,,,,Castração Eletiva
edf9db8f,1d839d19,11/06/2026 13:37:48,11/06/2026,Aelton,Castração,,,,,Castração Eletiva
a6d6bd7e,2a33ac31,01/01/2026 16:18:04,01/01/2026,Aelton,Vacina,,,Parvovirose,Vacina Parvovirose (Isolada),
65a662e8,2b5f05a2,06/12/2025 12:33:22,06/12/2025,Victor,Consulta Veterinária,,,,,
9e8edb40,2b5f05a2,20/02/2026 12:06:16,20/02/2026,Victor,Castração,,,,,Castração Eletiva
c08cd7fa,2b5f05a2,17/12/2025 09:20:00,17/12/2025,Victor,Medicamento,Outro,Soro Fisiológico,,,
e940b65b,9b407ded,29/05/2026 12:32:58,29/05/2026,Michelly,Medicamento,Antiparasitario externo,NexGard,,,
380555b1,9b407ded,08/06/2026 14:11:41,08/06/2026,Michelly,Cirurgia,,,,,Amputação
c3f8d36b,9b407ded,07/06/2026 18:13:18,07/06/2026,Michelly,Vacina,,,Marek,Vacina Doença de Marek,
d1bf2196,9b407ded,12/05/2026 12:33:57,12/05/2026,Michelly,Cirurgia,,,,,Amputação
9f833a7d,3903a1af,25/12/2025 16:40:26,25/12/2025,Victor,Vacina,,,Tétano,Toxoide Tetânico,
58217c40,3903a1af,03/01/2026 13:51:36,03/01/2026,Victor,Vacina,,,Calicivirose,Vacina Calicivirose,
16354fd7,3903a1af,21/04/2026 08:20:46,21/04/2026,Victor,Castração,,,,,Castração Eletiva
cce58928,affaf22d,20/02/2026 18:11:36,20/02/2026,Aelton,Consulta Veterinária,,,,,
dbcea93f,affaf22d,02/03/2026 11:09:26,02/03/2026,Aelton,Consulta Veterinária,,,,,
1aa092db,affaf22d,15/05/2026 10:12:27,15/05/2026,Aelton,Cirurgia,,,,,Ortopedia
308e26ea,affaf22d,16/11/2025 08:44:55,16/11/2025,Aelton,Vacina,,,Respiratória,Vacina Gripe Canina (Bordetella),
d87205b0,1847be9a,11/10/2025 11:29:05,11/10/2025,Victor,Vacina,,,Influenza,Vacina Influenza Equina/Aviária,
7c48331a,1847be9a,08/03/2026 09:19:50,08/03/2026,Victor,Vacina,,,Clostridial,Polivalente Clostridial,
e50f94b9,c8254161,29/04/2026 16:49:24,29/04/2026,Aelton,Vacina,,,Calicivirose,Vacina Calicivirose,
675d16a4,c8254161,03/06/2026 13:05:34,03/06/2026,Aelton,Consulta Veterinária,,,,,
11bcbe22,c8254161,13/03/2026 10:17:44,13/03/2026,Aelton,Cirurgia,,,,,Remoção de Nódulo
7571bd11,9758cd7a,28/02/2026 11:22:16,28/02/2026,Michelly,Cirurgia,,,,,Remoção de Nódulo
6b5f4efb,9758cd7a,15/05/2026 18:13:48,15/05/2026,Michelly,Castração,,,,,Castração Eletiva
a79687fd,cf277149,06/06/2026 08:55:59,06/06/2026,Bruno,Vacina,,,Polivalente,V8,
b1e1d291,cf277149,07/06/2026 18:23:46,07/06/2026,Bruno,Medicamento,Antibiótico,Doxiciclina,,,
adfcfc61,cf277149,04/06/2026 10:04:16,04/06/2026,Bruno,Cirurgia,,,,,Ortopedia
437d0ff4,7d4a331e,08/06/2026 16:31:02,08/06/2026,Bruno,Consulta Veterinária,,,,,
ada67957,7d4a331e,29/12/2025 12:48:01,29/12/2025,Bruno,Cirurgia,,,,,Ortopedia
a258203e,c877de16,13/06/2026 12:41:47,13/06/2026,Michelly,Medicamento,Antiviral,Interferon,,,
ef5c5d80,c877de16,14/06/2026 12:49:17,14/06/2026,Michelly,Medicamento,Cardiológico,Pimobendan,,,
c05df211,c877de16,13/06/2026 11:54:45,13/06/2026,Michelly,Cirurgia,,,,,Castração Emergencial
4411cad4,c877de16,12/06/2026 12:34:54,12/06/2026,Michelly,Cirurgia,,,,,Amputação
91957533,7488b4d3,17/12/2025 08:17:55,17/12/2025,Bruno,Vacina,,,Calicivirose,Vacina Calicivirose,
3e45c58b,7488b4d3,08/01/2026 08:57:25,08/01/2026,Bruno,Vacina,,,Clostridial,Polivalente Clostridial,
155a694d,7488b4d3,26/05/2026 17:44:08,26/05/2026,Bruno,Vacina,,,Brucelose,Vacina Brucelose,
a28f0ff3,7488b4d3,25/10/2025 09:13:02,25/10/2025,Bruno,Vacina,,,Reprodutiva,Vacina Específica,
d0ae5405,d7de9a62,04/06/2026 16:25:09,04/06/2026,Aelton,Consulta Veterinária,,,,,
77204b14,d7de9a62,11/06/2026 10:44:12,11/06/2026,Aelton,Medicamento,Antialérgico,Apoquel,,,
6a631aef,1840a74b,17/01/2026 16:13:48,17/01/2026,Victor,Castração,,,,,Castração Eletiva
1b715f7d,532f1177,23/12/2025 09:46:22,23/12/2025,Victor,Castração,,,,,Castração Eletiva
30a61130,532f1177,25/09/2025 11:48:12,25/09/2025,Victor,Cirurgia,,,,,Remoção de Nódulo
767a3c61,532f1177,31/12/2025 11:10:44,31/12/2025,Victor,Cirurgia,,,,,Ortopedia
cdf404c7,1722e392,25/05/2026 15:10:18,25/05/2026,Victor,Cirurgia,,,,,Amputação
28a8cba9,1722e392,27/05/2026 09:26:27,27/05/2026,Victor,Castração,,,,,Castração Eletiva
829fc4a8,1722e392,13/05/2026 15:05:43,13/05/2026,Victor,Medicamento,Gastrointestinal,Omeprazol,,,
a49a19cd,ca33b1bb,11/12/2025 15:16:32,11/12/2025,Victor,Cirurgia,,,,,Remoção de Nódulo
5e5eb00c,ca33b1bb,11/05/2026 10:28:23,11/05/2026,Victor,Cirurgia,,,,,Remoção de Nódulo
3c62fd59,ca33b1bb,09/06/2026 11:45:41,09/06/2026,Victor,Cirurgia,,,,,Amputação
f5d46077,da5eedf4,11/05/2026 12:51:43,11/05/2026,Victor,Castração,,,,,Castração Eletiva
7c77605a,d881fc63,01/04/2026 13:42:35,01/04/2026,Aelton,Medicamento,Outro,Glicose,,,
fac3ee95,d881fc63,01/06/2026 17:53:31,01/06/2026,Aelton,Vacina,,,Clostridial,Polivalente Clostridial,
5ce9c2f1,22a51d97,15/04/2026 08:03:35,15/04/2026,Michelly,Cirurgia,,,,,Amputação
274891f7,22a51d97,07/04/2026 08:19:08,07/04/2026,Michelly,Cirurgia,,,,,Amputação
19044e09,a8b0cff1,24/04/2026 08:57:18,24/04/2026,Victor,Castração,,,,,Castração Eletiva
9a45a0dc,e992ca88,22/03/2026 15:28:26,22/03/2026,Aelton,Vacina,,,Panleucopenia,Vacina Panleucopenia,
0c1798ea,220fbb4a,17/09/2025 14:34:41,17/09/2025,Victor,Vacina,,,Brucelose,Vacina Brucelose,
25586cc0,220fbb4a,26/08/2025 11:30:04,26/08/2025,Victor,Medicamento,Antifúngico,Cetoconazol,,,
90ef9f74,3f8d750a,10/10/2025 13:10:47,10/10/2025,Bruno,Consulta Veterinária,,,,,
88d60ce2,3f8d750a,21/12/2025 10:54:54,21/12/2025,Bruno,Consulta Veterinária,,,,,
a0d7a6a5,3f8d750a,13/04/2026 12:40:25,13/04/2026,Bruno,Consulta Veterinária,,,,,
03344e89,3f8d750a,21/12/2025 16:09:25,21/12/2025,Bruno,Consulta Veterinária,,,,,
7598ad45,c4a62ee7,03/12/2025 14:53:39,03/12/2025,Aelton,Vacina,,,Reprodutiva,Vacina Específica,
71f67d7c,c4a62ee7,15/12/2025 18:53:59,15/12/2025,Aelton,Medicamento,Gastrointestinal,Sucralfato,,,
1643abfe,c4a62ee7,23/03/2026 14:15:37,23/03/2026,Aelton,Castração,,,,,Castração Eletiva
ff60b016,abc4a44a,14/06/2026 10:55:56,14/06/2026,Aelton,Castração,,,,,Castração Eletiva
cc4f0c96,e06304c2,18/05/2026 10:55:14,18/05/2026,Michelly,Consulta Veterinária,,,,,
93dfe100,e06304c2,03/06/2026 18:29:05,03/06/2026,Michelly,Consulta Veterinária,,,,,
661b0f8e,909ed5e6,29/11/2025 09:45:41,29/11/2025,Michelly,Cirurgia,,,,,Remoção de Nódulo
0bb44784,909ed5e6,01/12/2025 14:57:26,01/12/2025,Michelly,Medicamento,Dermatológico,Shampoo Clorexidina,,,
75bf6b43,909ed5e6,13/04/2026 12:25:20,13/04/2026,Michelly,Cirurgia,,,,,Castração Emergencial
5fd8b0b6,909ed5e6,05/06/2026 10:27:57,05/06/2026,Michelly,Medicamento,Hormônio,Insulina,,,
e5332186,dcf8056b,03/05/2026 17:09:16,03/05/2026,Victor,Medicamento,Antialérgico,Apoquel,,,
5145e5a2,6521be20,19/05/2026 10:21:55,19/05/2026,Bruno,Cirurgia,,,,,Ortopedia
b8bf910d,6521be20,25/02/2026 15:45:49,25/02/2026,Bruno,Castração,,,,,Castração Eletiva
1917c11a,6521be20,01/10/2025 12:40:14,01/10/2025,Bruno,Castração,,,,,Castração Eletiva
6c91a3c1,6521be20,01/09/2025 12:03:24,01/09/2025,Bruno,Cirurgia,,,,,Remoção de Nódulo
9f43c048,962e7fbe,25/03/2026 12:32:49,25/03/2026,Bruno,Cirurgia,,,,,Remoção de Nódulo
7df2f860,962e7fbe,11/01/2026 13:02:03,11/01/2026,Bruno,Medicamento,Anestésico / Sedativo,Propofol,,,
3a8df0ba,962e7fbe,19/03/2026 10:24:46,19/03/2026,Bruno,Castração,,,,,Castração Eletiva
80e10ab3,e92d059e,15/02/2026 13:00:20,15/02/2026,Aelton,Vacina,,,Polivalente,V5 Felina,
2be94db2,e92d059e,18/04/2026 16:15:50,18/04/2026,Aelton,Cirurgia,,,,,Ortopedia
c4d3b12c,caaaa0f9,01/06/2026 17:28:28,01/06/2026,Victor,Vacina,,,Influenza,Vacina Influenza Equina/Aviária,
0cf4716d,caaaa0f9,23/04/2026 15:30:17,23/04/2026,Victor,Medicamento,Anti-inflamatórios / Analgésico,Prednisolona,,,
45791933,caaaa0f9,17/04/2026 11:14:38,17/04/2026,Victor,Medicamento,Hormônio,Levotiroxina,,,
63ae09cb,ad386dfc,31/03/2026 18:02:51,31/03/2026,Victor,Vacina,,,Calicivirose,Vacina Calicivirose,
ff929f13,ad386dfc,10/05/2026 14:46:28,10/05/2026,Victor,Medicamento,Oftálmico,Colírio Tobramicina,,,
e3e5f817,ad386dfc,19/11/2025 18:13:08,19/11/2025,Victor,Medicamento,Anestésico / Sedativo,Cetamina,,,
fe2614fb,ad386dfc,01/10/2025 15:53:20,01/10/2025,Victor,Vacina,,,Antirrábica,Vacina Antirrábica Padrão,
b7672f09,4aecdbac,06/05/2026 17:51:23,06/05/2026,Victor,Consulta Veterinária,,,,,
77aad0ed,4aecdbac,03/02/2026 14:05:37,03/02/2026,Victor,Medicamento,Antialérgico,Loratadina,,,
5688909b,4aecdbac,30/11/2025 10:25:25,30/11/2025,Victor,Vacina,,,Gastrointestinal,Vacina Giárdia,
dadf2abf,2fc9b260,11/06/2026 15:32:00,11/06/2026,Michelly,Consulta Veterinária,,,,,
0fda4f35,2fc9b260,30/05/2026 15:01:00,30/05/2026,Michelly,Castração,,,,,Castração Eletiva
ebc8bd6f,2fc9b260,05/06/2026 09:55:10,05/06/2026,Michelly,Vacina,,,Calicivirose,Vacina Calicivirose,
cd496a2c,e768812d,17/05/2026 13:26:01,17/05/2026,Michelly,Consulta Veterinária,,,,,
1f2d58b7,e768812d,04/06/2026 15:33:52,04/06/2026,Michelly,Consulta Veterinária,,,,,
3cdc4d72,b071be18,26/01/2026 09:28:14,26/01/2026,Aelton,Castração,,,,,Castração Eletiva
9004b30b,b071be18,26/03/2026 15:46:43,26/03/2026,Aelton,Castração,,,,,Castração Eletiva
6b5bbf4f,b071be18,17/03/2026 18:39:45,17/03/2026,Aelton,Castração,,,,,Castração Eletiva
dfdfd909,7be650ee,20/09/2025 14:45:02,20/09/2025,Bruno,Cirurgia,,,,,Castração Emergencial
27db1550,7be650ee,16/08/2025 10:50:37,16/08/2025,Bruno,Medicamento,Outro,Glicose,,,
dc0335c6,6460fe94,10/03/2026 10:00:28,10/03/2026,Victor,Medicamento,Respiratório,Acetilcisteína,,,
a80b4729,6460fe94,20/03/2026 13:22:30,20/03/2026,Victor,Castração,,,,,Castração Eletiva
780d8782,6460fe94,01/05/2026 17:24:29,01/05/2026,Victor,Vacina,,,Parvovirose,Vacina Parvovirose (Isolada),
b7732ada,6460fe94,07/04/2026 18:16:54,07/04/2026,Victor,Castração,,,,,Castração Eletiva
64a13122,a6e5f34a,13/03/2026 13:02:04,13/03/2026,Victor,Castração,,,,,Castração Eletiva
